ticker,tdate,err,dps,dps1,fx,m2gdp,eps,eps1,roa,icr,growthvalue,ivol
NKY,2004-02-27,248.0,6.396,6.46,87.6303,33.03996,35.154,4.844,0.6206225,6.863003,188.90106,22.85
NKY,2004-03-31,189.0,6.454,6.518,91.7201,33.05732,36.832,4.992,0.6064811,6.839075,202.9325,24.7
NKY,2004-04-30,176.0,6.46,6.522,87.769,33.12371,37.389,4.793,0.6180039,6.8870926,203.86205,18.62
NKY,2004-06-30,314.0,6.722,7.093,88.2604,33.127186,39.74,4.583,1.1619018,8.022877,197.23105,21.75
NKY,2004-07-30,123.0,6.784,7.098,87.0597,33.19314,40.075,4.398,1.163461,8.0234375,185.54361,19.19
NKY,2004-08-31,284.0,6.888,7.171,88.6628,33.271473,40.503,4.523,1.1602778,8.5169935,184.96838,19.15
NKY,2004-09-30,159.0,6.956,7.179,87.3435,33.293488,40.675,4.691,1.1584492,8.502758,179.64372,17.44
NKY,2004-10-29,144.0,7.045,7.253,89.6561,33.351826,40.642,4.615,1.1668209,8.234244,178.6142,17.3
NKY,2004-11-30,75.0,7.203,7.533,90.3173,33.39585,41.491,4.977,1.1522564,9.01613,183.04274,15.8
NKY,2004-12-31,127.0,7.349,7.508,90.1961,33.306316,42.794,4.742,1.1494372,9.007923,192.7355,15.57
NKY,2005-01-31,45.0,7.468,7.554,89.9753,33.33852,43.412,4.822,1.1501158,9.011238,188.79016,14.34
NKY,2005-02-28,-96.0,7.648,7.621,88.5512,33.37407,43.818,4.808,1.1597073,9.16136,192.97203,15.41
NKY,2005-03-31,121.0,7.781,7.793,87.019,33.353096,44.735,4.648,1.1576148,9.192634,191.98601,13.5
NKY,2005-04-29,12.0,7.974,7.933,88.9945,33.41919,44.736,4.952,1.1578199,9.204705,182.87631,12.55
NKY,2005-05-31,59.0,8.484,9.094,87.2443,33.4572,44.804,4.75,1.5077354,10.005615,187.37401,12.81
NKY,2005-06-30,17.0,8.625,9.072,85.6383,33.482773,45.555,3.988,1.5129044,10.144882,191.48096,10.93
NKY,2005-07-29,70.0,8.752,9.16,84.1777,33.504303,46.852,4.308,1.5120492,10.160142,194.95369,11.68
NKY,2005-08-31,164.0,8.673,8.867,85.1646,33.572178,46.972,4.65,1.5037856,9.829915,208.80772,15.07
NKY,2005-09-30,182.0,8.767,8.845,83.5711,33.602535,47.796,4.657,1.6035008,9.847979,233.54173,15.42
NKY,2005-10-31,261.0,8.944,8.884,81.6138,33.69946,49.188,4.714,1.6842377,9.853143,238.86874,16.5
NKY,2005-11-30,167.0,9.151,9.397,79.4869,33.770332,49.54,5.109,1.6228937,10.23838,259.05457,14.92
NKY,2005-12-30,211.0,9.462,9.51,80.2601,33.75463,51.183,5.228,1.6074032,10.178042,282.15164,20.35
NKY,2006-01-31,127.0,9.643,9.555,79.6366,33.779915,51.806,5.215,1.6068413,10.190291,295.8452,22.71
NKY,2006-02-28,82.0,9.965,9.629,80.7103,33.79715,53.038,5.821,1.4397906,10.928682,286.69827,23.88
