,BOND,CANA,BUND,GILT,JGB
1998-10-15,4.3990 ,4.8550 ,4.0720 ,5.0530 ,0.8790 
1998-10-16,4.4440 ,4.8210 ,4.0750 ,5.0580 ,0.9070 
1998-10-19,4.4710 ,4.8190 ,4.0640 ,4.9960 ,0.8610 
1998-10-20,4.5750 ,4.8690 ,4.1150 ,5.0600 ,0.8540 
1998-10-21,4.5710 ,4.9160 ,4.0810 ,5.0690 ,0.8740 
1998-10-22,4.6150 ,4.9570 ,4.0950 ,5.1190 ,0.8700 
1998-10-23,4.7030 ,5.0650 ,4.1380 ,5.2060 ,0.8930 
1998-10-26,4.6710 ,5.0330 ,4.1780 ,5.1270 ,0.9110 
1998-10-27,4.6040 ,4.9930 ,4.1210 ,5.0510 ,0.9250 
1998-10-28,4.5570 ,4.9930 ,4.1400 ,5.0950 ,0.9030 
1998-10-29,4.4990 ,5.0110 ,4.1300 ,5.0260 ,0.9000 
1998-10-30,4.6050 ,5.0890 ,4.1330 ,5.0600 ,0.8490 
1998-11-02,4.7640 ,5.1950 ,4.1950 ,5.1020 ,0.8600 
1998-11-03,4.7360 ,5.1420 ,4.1500 ,4.9790 ,0.8600 
1998-11-04,4.8850 ,5.2370 ,4.1700 ,5.0570 ,0.8850 
1998-11-05,4.8480 ,5.2100 ,4.1760 ,5.0580 ,0.8810 
1998-11-06,4.9400 ,5.2850 ,4.2440 ,5.1200 ,0.8650 
1998-11-09,4.8600 ,5.2310 ,4.2320 ,5.0590 ,0.8550 
1998-11-10,4.8260 ,5.1880 ,4.2110 ,4.9860 ,0.8300 
1998-11-11,4.8240 ,5.1920 ,4.2180 ,5.0510 ,0.9300 
1998-11-12,4.7800 ,5.1610 ,4.2060 ,4.9860 ,0.8450 
1998-11-13,4.8100 ,5.1610 ,4.2030 ,4.9490 ,0.8350 
1998-11-16,4.8640 ,5.2060 ,4.2150 ,4.9300 ,0.8650 
1998-11-17,4.8720 ,5.2010 ,4.1810 ,4.8950 ,0.9600 
1998-11-18,4.8440 ,5.1950 ,4.0970 ,4.8070 ,0.8700 
1998-11-19,4.8480 ,5.1970 ,4.0770 ,4.7950 ,0.8850 
1998-11-20,4.8140 ,5.1900 ,4.0580 ,4.8450 ,0.9450 
1998-11-23,4.8540 ,5.1870 ,4.0440 ,4.8550 ,0.9450 
1998-11-24,4.8320 ,5.1650 ,4.0550 ,4.8540 ,0.9680 
1998-11-25,4.8320 ,5.1960 ,4.0670 ,4.8160 ,1.0060 
1998-11-26,4.8300 ,5.1800 ,4.0540 ,4.7350 ,1.0030 
1998-11-27,4.8080 ,5.1080 ,4.0350 ,4.7570 ,1.1040 
1998-11-30,4.7140 ,5.0190 ,3.9980 ,4.6850 ,1.2350 
1998-12-01,4.6490 ,4.9280 ,3.9600 ,4.6510 ,1.2680 
1998-12-02,4.5900 ,4.8740 ,3.9320 ,4.6250 ,1.3110 
1998-12-03,4.5390 ,4.7870 ,3.9450 ,4.6170 ,1.1250 
1998-12-04,4.6270 ,4.8760 ,3.9230 ,4.6200 ,1.1480 
1998-12-07,4.6640 ,4.9090 ,3.9150 ,4.6290 ,1.1650 
1998-12-08,4.5930 ,4.8600 ,3.8940 ,4.5800 ,1.1640 
1998-12-09,4.5680 ,4.8620 ,3.8250 ,4.4950 ,1.2600 
1998-12-10,4.5230 ,4.8370 ,3.7940 ,4.4580 ,1.3280 
1998-12-11,4.6150 ,4.8960 ,3.7810 ,4.4550 ,1.3080 
1998-12-14,4.5720 ,4.8480 ,3.8230 ,4.4590 ,1.4330 
1998-12-15,4.6210 ,4.8770 ,3.8480 ,4.4650 ,1.4330 
1998-12-16,4.5400 ,4.8160 ,3.8770 ,4.4800 ,1.5030 
1998-12-17,4.5770 ,4.8230 ,3.8670 ,4.4560 ,1.5040 
1998-12-18,4.5620 ,4.8380 ,3.8320 ,4.4340 ,1.4760 
1998-12-21,4.6380 ,4.8780 ,3.8660 ,4.4700 ,1.6660 
1998-12-22,4.7000 ,4.9680 ,3.9350 ,4.5110 ,1.9400 
