,BOND,CANA,BUND,GILT,JGB
43017,124.2656 ,132.4300 ,158.4900 ,122.0800 ,150.0500 
43018,124.4375 ,132.5300 ,158.5300 ,121.9900 ,150.0800 
43019,124.4063 ,132.7300 ,158.3100 ,121.8700 ,150.0500 
43020,124.5625 ,132.9000 ,158.5000 ,121.8600 ,150.0300 
43021,124.8594 ,133.4500 ,159.0600 ,121.9800 ,150.0200 
43024,124.5938 ,133.6200 ,159.4900 ,122.2800 ,150.0300 
43025,124.6094 ,133.7300 ,159.6500 ,122.8700 ,150.0000 
43026,124.3125 ,133.5100 ,159.2200 ,122.5700 ,150.0100 
43027,124.4375 ,133.7800 ,159.3100 ,123.0200 ,150.0300 
43028,124.0000 ,133.6500 ,158.4900 ,122.4500 ,149.9600 
43031,124.0938 ,133.6100 ,158.7300 ,122.6800 ,150.0100 
43032,123.9063 ,133.3900 ,158.1700 ,122.2200 ,150.0200 
43033,123.6250 ,133.5700 ,158.1000 ,121.6000 ,150.0000 
43034,123.5469 ,133.7300 ,158.6600 ,121.6900 ,150.0300 
43035,123.7656 ,134.1300 ,159.4100 ,122.1700 ,150.0500 
43038,124.1875 ,134.4800 ,159.7400 ,122.4600 ,150.0900 
43039,124.1094 ,134.4500 ,159.7800 ,122.4000 ,150.1200 
43040,124.0781 ,134.2100 ,159.6600 ,122.2600 ,150.0900 
43041,124.3125 ,134.4700 ,159.7200 ,123.1800 ,150.1700 
43042,124.3281 ,134.5100 ,159.7700 ,123.1800 ,150.1700 
43045,124.5313 ,134.7600 ,160.1600 ,123.2500 ,150.5700 
43046,124.5938 ,135.1800 ,160.3000 ,123.4400 ,150.5600 
43047,124.4219 ,135.1000 ,160.4100 ,123.7100 ,150.6400 
43048,124.3594 ,134.7500 ,159.6100 ,123.1900 ,150.6000 
43049,123.8750 ,134.3900 ,159.2300 ,122.3900 ,150.4900 
43052,123.7969 ,134.3900 ,159.1200 ,122.5000 ,150.3600 
43053,123.9063 ,134.4900 ,159.4200 ,122.6700 ,150.3600 
43054,124.2188 ,135.0000 ,159.6700 ,122.9400 ,150.4400 
43055,124.0313 ,134.4500 ,159.7300 ,122.7900 ,150.4500 
43056,124.0781 ,134.6800 ,159.8800 ,122.7900 ,150.6000 
43059,123.8594 ,134.4300 ,159.9800 ,123.0300 ,150.6100 
43060,123.8594 ,134.8500 ,160.1000 ,123.1300 ,150.6700 
43061,124.2813 ,135.1500 ,160.0000 ,123.0600 ,150.8000 
43062,124.2813 ,135.2300 ,160.0800 ,123.3700 ,150.8000 
43063,124.1406 ,135.2900 ,159.8800 ,123.3800 ,150.6700 
43066,124.3125 ,135.6100 ,160.1300 ,123.2700 ,150.5800 
43067,124.1563 ,135.6600 ,160.1900 ,123.3600 ,150.6200 
43068,123.8906 ,135.3400 ,159.5100 ,122.3600 ,150.7100 
43069,123.4688 ,135.2100 ,159.7500 ,122.5800 ,150.5800 
43070,123.8438 ,135.0100 ,160.8100 ,123.6000 ,150.6700 
43073,123.6719 ,134.7700 ,160.2400 ,123.0600 ,150.5800 
43074,123.7656 ,134.9300 ,160.4200 ,123.2700 ,150.5200 
43075,124.0156 ,135.5300 ,160.7800 ,123.6400 ,150.5600 
43076,123.7031 ,135.4400 ,160.9000 ,123.4300 ,150.5800 
43077,123.6875 ,135.3500 ,160.7400 ,123.1200 ,150.6100 
43080,123.6875 ,135.5200 ,160.9000 ,123.9400 ,150.5700 
43081,123.5469 ,135.3400 ,160.5300 ,123.7300 ,150.6300 
