,BO,C,CL,CT,GC,HG,KC,NG,S,SB,SI,SM,W,XBW
1992-05-05,0.0009775162,-0.007699728,-0.01515162,-0.011648595,0.00059235096,-0.0045771003,-0.018729687,0.048696876,0.0,0.011591196,0.012909651,0.0,-0.008005321,-0.01324302
1992-05-06,-0.00390625,0.008729339,-0.0014422536,-0.020297945,-0.0008880496,0.004098296,-0.01659751,-0.021582723,0.0029548407,-0.006250024,0.0024510622,0.011248589,0.0,-0.0048802495
1992-05-07,0.0029411316,0.012500048,-0.0028888583,0.0055137873,-0.0047407746,0.0074664354,0.024472594,-0.008021474,0.0063130856,0.016771436,-0.007824004,0.007786393,0.012777448,-0.0073563457
1992-05-08,-0.0019549727,-0.007597327,0.007242918,-0.01595211,0.0011907816,0.000395298,0.0016474724,-0.0060646534,-0.0058552623,-0.0030927658,0.0098570585,-0.007726252,-0.017928302,0.0015439987
1992-05-11,0.0058766603,-0.012440205,0.006711364,0.007261038,0.0020815134,0.0014816523,0.018092155,0.010169506,-0.00084137917,0.0010341406,0.0036603212,-0.004449427,-0.010818124,0.0070910454
1992-05-12,0.01314497,0.0058139563,-0.0019047856,0.016261458,-0.003560841,-0.0029588938,0.016962886,0.035570502,0.018947363,-0.0010330677,-0.0012156963,0.0201118,-0.006151736,-0.0078065395
1992-05-13,0.01489675,0.0057803392,-0.009541929,0.0318377,0.0008934736,-0.0039567947,0.012708545,0.012313724,0.023966908,0.0031023026,-0.0012170672,0.03066802,-0.0020632744,-0.017124355
1992-05-14,0.0033143759,0.008620739,-0.010115683,-0.014708221,0.0068432093,-0.0034760833,-0.012548983,0.039052486,-0.0064567924,-0.009278357,0.004874468,-0.009032905,-0.019986212,-0.01130116
1992-05-15,-0.0061350465,-0.005698025,0.0068126917,-0.0077884197,0.0020686388,0.0015946627,0.032565475,0.020948768,-0.00040614605,0.0041623116,-0.005093336,-0.0005362034,-0.00773561,0.010954142
1992-05-18,0.010446429,0.0019102097,-0.007190883,-0.008176625,0.00058972836,0.0008955002,-0.009230733,0.01827681,0.013409138,-0.031087995,0.0,0.010193229,0.0070872307,-0.011149466
1992-05-19,-0.019736826,-0.03050524,-0.01738286,-0.03297609,-0.0032418966,0.005567193,0.018633485,0.028846145,-0.025661588,0.004278064,-0.0024378896,-0.022304833,-0.027445436,-0.015245378
1992-05-20,0.0033557415,0.0029498339,0.0024570227,0.0068200827,0.0005912781,-0.0020760894,-0.019816995,0.015576363,0.002469182,0.003194809,0.0,0.0027159452,-0.011577427,0.0041929483
1992-05-21,-0.020066917,-0.010784328,0.024509788,-0.033869624,-0.002955079,0.0014859438,0.000777483,-0.06134969,-0.025041044,-0.0074309707,-0.0036656857,-0.030335903,-0.0043923855,0.01638031
1992-05-22,0.001462698,0.002973199,0.0019139051,-0.006660819,0.0020747185,0.0025719404,-0.013208985,0.009803891,0.003789425,0.012834191,0.0049055815,0.0044692755,0.0066176653,0.010270119
1992-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-05-26,0.012171388,0.012845874,0.050620794,0.0040585995,0.0008829832,-0.002565384,0.012598515,0.05501616,0.011325479,0.007391691,0.0012204647,0.008898735,0.019722462,0.039850593
1992-05-27,0.0033669472,0.010731697,-0.0036363602,0.016344428,-0.0002940297,-0.0028686523,-0.0031104684,-0.024539828,0.0037329197,0.03773582,-0.0017066002,0.0055127144,0.007163286,-0.011676729
1992-05-28,0.0,-0.00772202,0.0013686419,0.005014658,-0.0029411912,0.00049602985,-0.024180949,0.016981125,-0.0024793148,-0.0050504208,-0.0073259473,-0.0032894015,0.0007112026,-0.0003029108
1992-05-29,0.02061367,0.009727597,0.0072892904,-0.0013764501,-0.0017699003,0.002379775,0.011990428,0.004947424,0.017398477,0.018274069,-0.0105781555,0.0077006817,-0.0063965917,0.008030295
1992-06-01,0.030530691,-0.0028901696,-0.0036182404,0.00671947,0.0035461187,0.011870623,0.0,0.021538496,0.010586262,-0.029910266,0.006215811,0.005458474,0.012875557,-0.009168804
1992-06-02,0.006836772,0.016425133,0.0036313534,0.011466622,0.0047113895,0.0004887581,-0.03396523,-0.004819274,0.0153102875,0.016444087,0.008895516,0.015743852,0.011299491,-0.0019720197
1992-06-03,-0.012222767,-0.0009505749,0.014473081,-0.0037224889,-0.0017585158,-0.0024428368,0.0130826235,-0.039951563,-0.013492048,0.014155626,-0.0036738515,-0.014430821,0.020949721,0.023103714
1992-06-04,-0.0032080412,0.0,0.0022290945,-0.0050951242,0.0,0.022529125,-0.0024213195,0.014501929,-0.002815783,0.030907273,0.0036873817,-0.002711475,0.005471945,-0.002079904
1992-06-05,-0.014712632,-0.015223622,0.006227851,-0.00017076731,0.00029361248,-0.0019158721,-0.0040453076,0.027346253,-0.021782994,-0.010638356,-0.0061229467,-0.020663321,-0.0027210712,0.0010421276
1992-06-08,0.014932275,0.018357515,-0.007957578,0.031927586,-0.0017610788,-0.0033593178,0.0008122921,-0.016938925,0.02515459,-0.007820129,-0.002464354,0.02276504,0.008185506,-0.0010410547
1992-06-09,0.014712572,0.0018975735,-0.0053476095,0.017372608,0.00029408932,0.0014445782,0.0,0.0055384636,0.013676643,-0.013793051,0.0,0.009229064,0.018944502,-0.0044662356
1992-06-10,-0.000906229,-0.0009469986,0.008512616,-0.01382345,-0.0011758804,-0.006731391,-0.01866877,-0.00917989,-0.0067460537,0.021977901,0.002470374,-0.006455064,-0.009296119,0.004336834
1992-06-11,-0.014512479,-0.0075829625,-0.007107973,0.017974973,0.0073572397,-0.003291726,-0.007444203,-0.016676903,-0.00878948,-0.012707651,0.011582017,0.0,-0.026139438,-0.01578331
1992-06-12,-0.0046019554,-0.009551108,-0.0022372007,0.016037583,0.0070114136,0.004371047,0.014166594,-0.035804033,-0.003224492,0.016831636,0.0056028366,-0.0048727393,-0.008947015,-0.0018153787
1992-06-15,-0.046232104,-0.045323074,0.0026906729,-0.0051020384,0.0005801916,0.00048351288,0.018077254,0.018241048,-0.038010538,0.023368955,0.0024225712,-0.023939133,-0.02013886,-0.003940642
1992-06-16,-0.010179281,0.0090909,-0.002683401,-0.023878217,-0.0026094317,0.0008699894,0.010492325,0.02559185,0.0012609959,0.0019029379,-0.0084581375,0.00613153,0.0014173985,-0.0051735044
1992-06-17,0.016160607,0.007007003,-0.00044834614,0.017074347,-0.00319767,0.0062777996,-0.018370569,0.0012476444,0.012174606,0.049382806,-0.003168404,0.0055401325,0.004246235,0.003211975
